Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Evan Weinger,RW,60,12,12,24,-19,18,0,1,2,0,2,2,3,0,1,2,0,0,0,0,0.4,0.3,88,13.6
Jake McGrew,RW,57,12,11,23,-9,36,1,3,0,0,0,4,0,0,2,0,0,1,0,0,0.4,0.63,94,12.8
Kyle Topping,C,48,4,15,19,-13,48,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,51,7.8
Ryan Merkley,D,30,1,18,19,-9,30,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0.63,1,44,2.3
Lane Pederson,C,22,9,9,18,-12,8,4,3,1,1,0,2,1,0,0,0,0,2,0,0,0.82,0.36,59,15.3
Anthony Bitetto,D,53,6,11,17,-18,54,2,4,0,1,1,1,1,0,0,1,0,0,0,0,0.32,1.02,68,8.8
Jasper Weatherby,C,25,5,10,15,-15,24,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.96,45,11.1
Mason Jobst,C,37,5,10,15,-12,26,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0.41,0.7,38,13.2
Adam Raska,RW,49,5,9,14,-6,57,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0.29,1.16,65,7.7
Antoine Morand,C,58,5,9,14,-4,25,1,3,1,1,0,0,1,0,1,0,0,0,0,0,0.24,0.43,63,7.9
Zach Gallant,C,53,3,10,13,-16,65,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.25,1.23,51,5.9
Noah Gregor,C,8,4,8,12,2,7,1,4,0,0,1,2,0,0,0,0,0,1,0,0,1.5,0.88,30,13.3
Patrick Holway,D,43,4,8,12,-9,62,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.28,1.44,46,8.7
Santeri Hatakka,D,41,3,9,12,-4,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.29,0.54,44,6.8
Jaycob Megna,D,22,2,8,10,0,10,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.45,0.45,26,7.7
Cole Moberg,D,31,2,8,10,-7,12,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0.32,0.39,46,4.3
Dillon Hamaliuk,LW,44,3,6,9,-10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.84,33,9.1
Mark Alt,D,46,3,5,8,-18,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.17,0.43,48,6.3
Evander Kane,LW,5,2,6,8,3,2,0,2,0,3,1,0,0,0,1,0,0,0,0,0,1.6,0.4,21,9.5
Montana Onyebuchi,D,46,1,6,7,-11,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,2.98,44,2.3
Jeffrey Viel,LW,13,4,2,6,-1,20,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0.46,1.54,21,19
Joel Kellman,C,10,1,3,4,-4,8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.4,0.8,12,8.3
Krystof Hrabik,LW,21,1,3,4,-8,18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.19,0.86,20,5
Thomas Bordeleau,C,2,0,3,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,6,0
Timur Ibragimov,LW,23,1,1,2,-4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09,0.17,12,8.3
Brinson Pasichnuk,D,9,1,0,1,-2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11,0.44,4,25
Nicolas Meloche,D,10,1,0,1,-9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.4,14,7.1
Steenn Pasichnuk,RW,24,1,0,1,-3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.71,20,5
Dylan Gambrell,C,3,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.33,3,0
Gannon Laroque,D,3,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,4,0
David Drake,D,5,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,2,0
Tyler Bird,RW,7,0,1,1,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.29,12,0
Christian Evers,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor McDonald,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Patrick McNally,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adam Parsells,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniil Gushchin,LW,3,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,8,0
Keoni Texeira,D,4,0,0,0,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,5,0
Joseph Garreffa,LW,11,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Sam Anas,RW,75,20,44,64,-8,12,5,20,0,0,3,4,1,1,2,0,3,7,1,42.9,0.85,0.16,230,8.7
Matthew Peca,C,68,23,37,60,3,16,6,17,2,1,4,3,4,1,1,1,0,1,0,0,0.88,0.24,139,16.5
Nathan Walker,LW,47,19,25,44,7,24,10,7,1,1,3,2,3,0,1,3,0,0,0,0,0.94,0.51,134,14.2
Hugh McGing,LW,67,14,20,34,-11,36,4,10,0,1,2,5,1,1,0,0,2,5,2,40,0.51,0.54,113,12.4
William Bitten,RW,68,13,19,32,-11,17,2,5,0,0,2,3,1,0,0,1,1,3,1,33.3,0.47,0.25,165,7.9
Nikita Alexandrov,C,67,12,18,30,4,26,3,6,0,0,3,2,1,0,1,0,0,0,0,0,0.45,0.39,112,10.7
Tommy Cross,D,67,8,21,29,-12,80,1,9,1,1,4,1,0,3,0,0,0,0,0,0,0.43,1.19,130,6.2
Calle Rosen,D,40,4,24,28,-1,14,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0.7,0.35,113,3.5
James Neal,LW,28,14,12,26,-1,10,7,4,0,0,4,0,1,1,1,0,1,3,0,33.3,0.93,0.36,90,15.6
MacKenzie MacEachern,LW,47,12,13,25,3,51,1,0,2,1,0,1,2,0,2,2,0,0,0,0,0.53,1.09,78,15.4
Keean Washkurak,C,64,13,10,23,-1,50,5,0,0,0,2,2,3,0,1,0,0,0,0,0,0.36,0.78,85,15.3
Nathan Todd,C,49,10,13,23,5,21,5,3,0,0,1,2,1,0,0,0,0,3,0,0,0.47,0.43,120,8.3
Scott Perunovich,D,17,3,19,22,-3,8,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1.29,0.47,27,11.1
Alexei Toropchenko,LW,42,10,10,20,-2,24,0,0,0,1,2,2,2,0,0,1,0,0,0,0,0.48,0.57,98,10.2
Dakota Joshua,C,35,9,11,20,-3,23,4,1,0,0,2,3,1,0,1,0,0,0,0,0,0.57,0.66,74,12.2
Tyler Tucker,D,72,3,15,18,9,114,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25,1.58,133,2.3
Steven Santini,D,66,2,16,18,16,24,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0.27,0.36,121,1.7
Logan Brown,C,19,6,11,17,4,10,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0.89,0.53,46,13
Brady Lyle,D,63,5,11,16,-4,18,0,2,0,0,0,1,2,0,0,0,0,1,0,0,0.25,0.29,88,5.7
Josh Wesley,D,65,5,7,12,11,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.18,0.89,100,5
Nolan Stevens,LW,20,3,9,12,3,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5,27,11.1
Luke Witkowski,D,60,5,6,11,8,85,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.18,1.42,47,10.6
Tanner Kaspick,C,45,6,4,10,2,40,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.22,0.89,47,12.8
Mathias Laferriere,RW,56,3,6,9,0,6,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0.16,0.11,55,5.5
Drew Callin,RW,44,4,4,8,-1,12,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.18,0.27,54,7.4
Michael Kim,D,26,0,7,7,-13,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.23,23,0
Klim Kostin,RW,17,3,3,6,3,15,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0.35,0.88,43,7
Mitchell Balmas,C,10,4,1,5,4,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,0.2,10,40
Griffin Luce,D,45,0,4,4,9,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,1.07,37,0
Nick Albano,D,13,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.46,8,0
Matt Kessel,D,15,0,3,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.53,17,0
Peter Crinella,LW,9,2,0,2,-5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.22,0.22,12,16.7
Shawn Cameron,RW,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Patrick Shea,C,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0
Jordan Smotherman,LW,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,50
Nate Kallen,D,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,1,100
Liam Coughlin,F,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0
Mathew Santos,RW,2,0,1,1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,0
Jacob Hayhurst,C,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,2,0
Patrick Bajkov,RW,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Belley-Pelletier,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Dominic Cormier,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nic Pierog,RW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Jacob Pritchard,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Spetz,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jordan Henry,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nick Master,F,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Smith,RW,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Patrick McNally,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Robbie Payne,C,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nolan Vesey,LW,3,0,0,0,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,2,0
Austin Osmanski,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Blake Christensen,LW,11,0,0,0,-7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,12,0
Matthew Phillips,RW,65,31,37,68,14,16,8,16,2,0,6,3,1,0,3,2,2,6,0,33.3,1.05,0.25,183,16.9
Jakob Pelletier,LW,66,27,35,62,22,22,9,10,2,2,8,7,2,2,1,2,0,0,0,0,0.94,0.33,196,13.8
Glenn Gawdin,C,62,15,35,50,15,75,4,12,1,3,2,2,2,0,1,2,2,5,0,40,0.81,1.21,138,10.9
Justin Kirkland,LW,66,25,23,48,-3,75,9,9,2,0,2,5,3,0,2,4,7,8,3,87.5,0.73,1.14,219,11.4
Luke Philp,RW,66,21,23,44,24,16,4,2,2,2,6,3,2,0,0,2,0,1,0,0,0.67,0.24,120,17.5
Byron Froese,C,55,20,17,37,-4,46,8,7,2,1,2,5,4,1,1,2,0,0,0,0,0.67,0.84,152,13.2
Connor Mackey,D,53,5,31,36,15,83,1,12,2,2,1,1,1,1,0,0,0,0,0,0,0.68,1.57,104,4.8
Mathias Emilio Pettersen,LW,59,13,13,26,5,20,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0.44,0.34,88,14.8
Eetu Tuulola,RW,61,14,11,25,5,50,3,0,2,2,3,1,2,0,1,0,0,0,0,0,0.41,0.82,80,17.5
Connor Zary,C,53,13,12,25,-4,36,4,3,0,0,2,1,3,0,0,0,2,3,0,66.7,0.47,0.68,85,15.3
Martin Pospisil,LW,47,7,18,25,9,95,1,8,0,0,0,1,1,0,0,0,1,2,1,50,0.53,2.02,83,8.4
Nick DeSimone,D,68,4,21,25,10,28,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0.37,0.41,150,2.7
Walker Duehr,RW,59,11,12,23,-4,28,0,0,0,2,0,2,1,0,1,1,0,0,0,0,0.39,0.47,103,10.7
Adam Ruzicka,C,16,11,9,20,12,2,2,4,0,0,2,2,2,0,0,1,0,1,0,0,1.25,0.13,50,22
Andy Welinski,D,39,3,16,19,12,18,1,11,0,0,1,1,0,1,1,0,0,0,0,0,0.49,0.46,76,3.9
Juuso Valimaki,D,35,2,16,18,1,26,0,5,0,1,1,1,0,1,0,0,1,2,1,50,0.51,0.74,81,2.5
Kevin Gravel,D,59,3,11,14,12,11,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.24,0.19,97,3.1
Colton Poolman,D,62,0,13,13,17,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.21,0.26,48,0
Mark Simpson,C,31,3,5,8,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.48,25,12
Ilya Solovyov,D,51,3,5,8,5,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.16,0.47,63,4.8
Johannes Kinnvall,D,19,0,8,8,-2,8,0,4,0,0,0,0,0,0,0,0,1,1,1,100,0.42,0.42,23,0
Greg Moro,D,13,1,6,7,2,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.54,0.77,18,5.6
Alex Gallant,LW,53,3,3,6,0,115,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.11,2.17,46,6.5
Nick Pastujov,C,14,2,1,3,-3,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.21,0.43,16,12.5
Ryan Olsen,C,17,1,0,1,-3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.06,0.47,10,10
Dmitri Zavgorodny ,RW,12,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.33,7,0
Tyrell Goulbourne,LW,18,0,1,1,-2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.78,13,0
Jay Dickman,LW,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mason Mitchell,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Koletrane Wilson,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Reid Perepeluk,RW,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Ryan Francis,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nolan Valleau,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Yan Kuznetsov,D,12,0,0,0,-4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,8,0
Alex Barre-Boulet,C,58,16,47,63,10,32,3,19,0,1,3,3,1,1,2,2,0,0,0,0,1.09,0.55,199,8
Gabriel Dumont,C,75,30,32,62,-5,100,9,7,0,1,6,6,5,0,3,6,0,0,0,0,0.83,1.33,174,17.2
Charles Hudon,LW,66,30,27,57,-10,56,13,10,1,0,6,3,2,2,2,1,0,2,0,0,0.86,0.85,187,16
Sean Day,D,69,8,32,40,8,31,1,12,1,0,2,0,1,0,0,0,0,0,0,0,0.58,0.45,118,6.8
Cole Koepke,LW,69,20,19,39,7,55,3,4,0,1,2,3,6,1,1,2,0,0,0,0,0.57,0.8,199,10.1
Anthony Richard,LW,71,17,21,38,-4,24,2,3,3,0,4,2,1,2,1,3,0,0,0,0,0.54,0.34,178,9.6
Gabriel Fortier,C,72,14,21,35,7,33,1,1,0,2,3,2,1,0,0,0,0,0,0,0,0.49,0.46,102,13.7
Simon Ryfors,C,72,11,24,35,10,31,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0.49,0.43,125,8.8
Gage Goncalves,C,70,17,15,32,-2,39,2,3,0,0,3,7,0,0,0,1,2,3,1,66.7,0.46,0.56,95,17.9
Remi Elie,LW,48,17,12,29,1,23,2,4,0,0,0,4,3,0,0,1,0,1,0,0,0.6,0.48,123,13.8
Alex Green,D,73,5,21,26,6,31,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0.36,0.42,96,5.2
Darren Raddysh,D,61,7,18,25,4,40,0,4,0,1,4,2,0,2,3,1,0,0,0,0,0.41,0.66,168,4.2
Otto Somppi,C,50,5,18,23,5,14,2,2,0,0,1,1,0,0,0,0,0,1,0,0,0.46,0.28,62,8.1
Riley Nash,C,17,10,8,18,10,4,3,1,0,0,1,1,3,1,0,1,0,0,0,0,1.06,0.24,53,18.9
P.C. Labrie,LW,56,6,10,16,-1,54,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0.29,0.96,50,12
Ryan Jones,D,76,4,11,15,11,61,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0.2,0.8,95,4.2
Fredrik Claesson,D,47,0,14,14,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.43,75,0
Daniel Walcott,LW,63,6,7,13,4,79,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0.21,1.25,68,8.8
Jimmy Huntington,C,27,6,6,12,-4,21,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0.44,0.78,37,16.2
Andrej Sustr,D,25,2,10,12,9,32,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.48,1.28,33,6.1
Antoine Morand,C,44,4,6,10,3,21,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0.23,0.48,49,8.2
Gemel Smith,C,16,5,4,9,2,10,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0.56,0.63,39,12.8
Nick Perbix,D,12,2,6,8,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0.67,0.17,25,8
Frank Hora,D,44,0,7,7,7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.95,37,0
Maxim Cajkovic,RW,20,3,3,6,-5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,26,11.5
Shawn Element,C,32,2,3,5,-7,40,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.16,1.25,43,4.7
Tristin Langan,C,8,1,2,3,-1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.38,0,9,11.1
Declan Carlile,D,10,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,6,16.7
Jesse Lees,D,17,0,3,3,-8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.12,8,0
Tye Felhaber,LW,17,2,0,2,-4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12,0.12,25,8
Patrick Watling,C,2,0,2,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Jaydon Dureau,LW,3,1,0,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.33,0,1,100
Boris Katchouk,LW,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,7,0
Tyler Bird,RW,4,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0
Evan Wardley,D,4,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.5,6,0
Alexei Lipanov,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Lohan,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Crawley,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Owen Headrick,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odeen Tufto,C,4,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cal Foote,D,5,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Jason Garrison,D,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,16,0
Dmitri Semykin ,D,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Anthony Louis,LW,66,24,31,55,-3,22,11,15,0,0,3,1,2,0,1,0,4,7,2,57.1,0.83,0.33,162,14.8
Ty Dellandrea,C,68,23,27,50,-9,43,8,11,2,0,6,4,1,1,1,1,1,6,0,16.7,0.74,0.63,143,16.1
Curtis McKenzie,LW,72,21,29,50,-6,82,9,7,0,0,1,4,2,0,1,3,0,1,0,0,0.69,1.14,139,15.1
Joel L'Esperance,C,62,24,25,49,4,30,10,10,0,0,2,7,3,0,0,0,0,2,0,0,0.79,0.48,197,12.2
Ben Gleason,D,70,9,35,44,-4,57,2,19,0,0,1,3,0,1,2,0,0,2,0,0,0.63,0.81,134,6.7
Riley Damiani,C,55,13,23,36,-7,42,6,9,0,0,2,2,1,0,0,0,0,4,0,0,0.65,0.76,140,9.3
Ryan Shea,D,66,3,29,32,-4,23,1,8,0,0,0,0,1,0,1,1,0,0,0,0,0.48,0.35,82,3.7
Fredrik Karlstrom,C,65,16,13,29,-5,4,1,3,0,0,3,6,1,0,1,0,0,2,0,0,0.45,0.06,106,15.1
Oskar Back,C,71,7,18,25,0,8,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0.35,0.11,50,14
Jordan Kawaguchi,C,49,6,17,23,-1,6,1,7,0,0,2,0,1,0,0,0,1,3,0,33.3,0.47,0.12,64,9.4
Josh Melnick,C,56,10,12,22,2,6,0,1,5,0,1,2,0,0,4,1,0,1,0,0,0.39,0.11,66,15.2
Riley Tufte,LW,54,10,10,20,-1,36,1,4,0,1,1,2,1,0,0,2,0,1,0,0,0.37,0.67,84,11.9
