Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Alexander Petrovic ,D,71,5,14,19,-1,73,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0.27,1.03,90,5.6
Tanner Kero,C,28,5,12,17,-3,10,3,4,0,0,0,0,0,0,0,0,2,3,0,66.7,0.61,0.36,48,10.4
Marian Studenic,RW,17,7,9,16,10,12,1,2,0,0,1,3,1,1,1,1,0,0,0,0,0.94,0.71,39,17.9
Rhett Gardner,C,66,7,9,16,-8,69,2,1,0,1,3,1,0,1,1,0,1,3,0,33.3,0.24,1.05,106,6.6
Joseph Cecconi,D,65,1,15,16,-6,52,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0.25,0.8,93,1.1
Nick Caamano,RW,47,8,6,14,-6,40,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0.3,0.85,66,12.1
Jerad Rosburg,D,65,4,10,14,6,83,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.22,1.28,89,4.5
Jeremy Gregoire,RW,49,7,5,12,-7,109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24,2.22,78,9
Thomas Harley,D,27,0,11,11,-3,36,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.41,1.33,53,0
Andreas Borgman,D,14,3,2,5,-5,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.36,0.71,31,9.7
Jacob Peterson,C,6,2,3,5,-1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1,13,15.4
Michael Karow,D,13,1,4,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.38,0.15,15,6.7
Yauheni Aksiantsiuk,LW,8,2,2,4,-4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,7,28.6
Will Merchant,LW,13,1,2,3,-3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.23,0.31,12,8.3
Dawson Barteaux,D,30,1,2,3,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.33,18,5.6
Tye Felhaber,LW,14,2,0,2,-4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14,0.14,21,9.5
Max Martin,D,13,0,2,2,-6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.31,16,0
Evan Wardley,D,6,0,1,1,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,1.33,6,0
Alexey Lipanov,C,8,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,5,0
Alex Steeves,F,58,23,23,46,0,37,8,9,1,0,4,1,3,2,1,2,0,1,0,0,0.79,0.64,181,12.7
Joey Anderson,RW,56,26,16,42,8,19,8,7,5,0,3,5,3,2,0,2,3,3,1,100,0.75,0.34,145,17.9
Bobby McMann,LW,61,24,11,35,-2,16,8,2,3,0,2,2,2,0,3,1,0,0,0,0,0.57,0.26,160,15
Josh Ho-Sang,RW,47,16,19,35,-8,24,6,5,0,0,4,2,3,2,1,0,2,2,0,100,0.74,0.51,79,20.3
Curtis Douglas,C,67,13,21,34,8,86,0,2,0,0,0,4,2,0,2,0,0,0,0,0,0.51,1.28,102,12.7
Semyon Der-Arguchintsev,C,51,13,19,32,-12,18,4,7,0,0,1,2,2,1,1,0,0,2,0,0,0.63,0.35,74,17.6
Joseph Blandisi,C,43,12,17,29,-3,48,3,3,1,1,5,3,2,0,2,1,0,0,0,0,0.67,1.12,66,18.2
Nicholas Robertson,LW,28,16,12,28,2,8,3,2,1,0,2,1,2,0,2,1,0,1,0,0,1,0.29,86,18.6
Mikhail Abramov,C,66,7,21,28,-6,20,1,5,0,2,2,0,1,1,0,1,2,3,2,66.7,0.42,0.3,103,6.8
Antti Suomela,C,48,14,12,26,3,10,2,2,0,2,3,2,1,0,3,2,0,0,0,0,0.54,0.21,80,17.5
Mac Hollowell,D,45,5,21,26,10,44,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0.58,0.98,58,8.6
Filip Kral,D,58,3,18,21,-1,24,1,5,0,3,0,0,0,0,0,0,0,1,0,0,0.36,0.41,71,4.2
Jack Kopacka,LW,52,9,7,16,-11,31,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0.31,0.6,76,11.8
Carl Dahlstrom,D,49,0,14,14,10,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.29,0.2,43,0
Marc Michaelis,F,22,5,8,13,2,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0.59,0.09,32,15.6
Rich Clune,LW,59,4,8,12,3,110,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.2,1.86,32,12.5
Chad Krys,D,44,1,10,11,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.73,52,1.9
Kristians Rubins,D,58,1,10,11,-1,24,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.19,0.41,70,1.4
Kirill Semyonov,C,9,1,8,9,6,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.11,21,4.8
Pavel Gogolev,LW,31,3,5,8,-9,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.26,0.32,26,11.5
Philippe Myers,D,16,2,5,7,-3,23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.44,1.44,37,5.4
Alex Biega,D,31,1,6,7,13,28,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.23,0.9,43,2.3
Teemu Kivihalme,D,32,1,6,7,-9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.5,36,2.8
Matt Hellickson,D,26,1,5,6,-2,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.23,0.85,25,4
Ryan Chyzowski,F,23,5,0,5,-10,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.22,0.3,22,22.7
Brennan Menell,D,20,1,4,5,-6,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.75,21,4.8
Pontus Holmberg,C,6,2,2,4,-1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.67,0.33,11,18.2
Kyle Clifford,LW,9,3,0,3,-1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.33,0.67,18,16.7
Noel Hoefenmayer,D,8,0,3,3,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.38,1.25,6,0
Dmitri Ovchinnikov,LW,7,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.29,0,4,50
Kurtis Gabriel,F,13,1,1,2,2,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,2.77,17,5.9
Nick Ritchie,LW,2,1,0,1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,2,50
Brennan Kapcheck,D,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0
Zach O'Brien,RW,5,0,1,1,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,2,0
Jeremy McKenna,RW,16,0,1,1,-6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.25,15,0
Gordie Green,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Ellis,RW,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Graham Slaggert,C,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Matteo Pietroniro,D,3,0,0,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,3,0
Marc Johnstone,RW,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,0
Matias Maccelli,F,47,14,43,57,-8,20,5,23,0,0,0,3,2,0,2,0,1,3,0,33.3,1.21,0.43,105,13.3
Jan Jenik,C,51,17,30,47,-27,67,9,13,0,0,2,0,1,0,1,0,1,2,0,50,0.92,1.31,119,14.3
Michael Carcone,RW,48,24,17,41,-11,62,8,11,0,0,2,5,1,0,3,0,1,1,1,100,0.85,1.29,180,13.3
Hudson Fasching,RW,51,14,23,37,-22,18,6,8,2,0,1,2,0,0,1,0,0,1,0,0,0.73,0.35,107,13.1
Ben McCartney,LW,57,18,17,35,-22,60,9,8,0,0,2,3,2,1,0,1,0,0,0,0,0.61,1.05,116,15.5
Cameron Hebig,RW,68,13,12,25,-32,36,3,3,0,2,0,1,0,0,0,0,0,2,0,0,0.37,0.53,132,9.8
Travis Barron,LW,64,12,13,25,-17,71,1,0,1,0,0,3,1,0,0,1,0,0,0,0,0.39,1.11,99,12.1
Terry Broadhurst,LW,49,11,13,24,-27,4,3,4,0,0,3,1,0,0,0,0,2,3,1,66.7,0.49,0.08,80,13.8
Cam Dineen,D,21,3,16,19,-14,6,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.29,51,5.9
Victor Soderstrom,D,32,3,16,19,-12,24,2,11,0,1,0,1,0,0,0,0,0,0,0,0,0.59,0.75,87,3.4
Cole Hults,D,54,7,10,17,-17,34,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0.31,0.63,83,8.4
Vladislav Kolyachonok,D,33,2,12,14,1,10,0,4,0,0,2,1,0,2,0,0,0,0,0,0,0.42,0.3,46,4.3
Janis Moser,D,18,5,7,12,-3,11,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0.67,0.61,29,17.2
Bokondji Imama,LW,54,5,7,12,-21,178,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0.22,3.3,51,9.8
Tyson Empey,F,63,3,9,12,-24,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,1.59,68,4.4
Colin Theisen,F,16,5,6,11,-3,6,2,1,0,0,0,1,0,0,0,0,1,1,1,100,0.69,0.38,30,16.7
Ty Emberson,D,58,4,7,11,-25,17,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0.19,0.29,80,5
Doyle Somerby,D,55,1,10,11,-15,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.85,57,1.8
Cameron Crotty,D,68,4,5,9,-28,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.13,0.44,111,3.6
Hudson Elynuik,F,22,3,6,9,-3,44,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0.41,2,25,12
Stephen Harper,C,40,3,3,6,-10,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.15,0.2,47,6.4
Andrew Nielsen,D,16,1,5,6,-2,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.88,14,7.1
Blake Speers,C,52,2,3,5,-19,23,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1,0.44,65,3.1
Ryan McGregor,C,17,1,4,5,-3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.35,16,6.3
Oliver Chau,F,10,0,4,4,-2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,9,0
Matt Foley,D,18,0,4,4,-2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.44,8,0
Liam Kirk,F,8,2,1,3,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0.38,0.25,10,20
Mitch Lewandowski ,F,14,2,1,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,15,13.3
Brandon Estes,D,10,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,14,0
Cedric Lacroix,LW,36,0,3,3,-7,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,2.58,38,0
Lewis Zerter-Gossage,RW,8,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,6,0
Chaz Reddekopp,D,14,0,2,2,-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.64,7,0
Barrett Hayton,C,4,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.5,5,0
Max Coatta,F,6,0,1,1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.33,6,0
Stephen Baylis,F,12,0,1,1,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.75,7,0
Vladislav Provolnev,D,17,0,1,1,-17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.59,41,0
Zack Andrusiak,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ryan Da Silva,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dysin Mayo,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
Philip Lagunov,C,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0
Logan Nelson,F,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,9,0
Avery Peterson,F,5,0,0,0,-3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,8,0
Anthony Rinaldi,F,6,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Quinn Wichers,D,16,0,0,0,-5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,8,0
Chase De Leo,C,55,21,35,56,-3,18,5,13,0,1,3,5,3,0,1,2,0,0,0,0,1.02,0.33,180,11.7
Fabian Zetterlund,C,58,24,28,52,5,8,8,9,0,1,7,2,3,2,0,3,1,2,1,50,0.9,0.14,175,13.7
A.J. Greer,LW,53,22,30,52,10,102,5,8,4,2,2,4,2,0,3,4,1,2,1,50,0.98,1.92,118,18.6
Alexander Holtz,F,52,26,25,51,-3,10,7,6,0,0,3,4,3,1,0,0,1,3,0,33.3,0.98,0.19,167,15.6
Reilly Walsh,D,70,9,34,43,12,16,2,15,0,0,4,2,0,1,0,0,0,0,0,0,0.61,0.23,112,8
Robbie Russo,D,70,3,32,35,6,21,1,13,0,2,1,0,0,0,0,0,0,0,0,0,0.5,0.3,117,2.6
Ryan Schmelzer,C,64,18,14,32,6,26,4,4,2,0,1,4,2,0,1,1,0,0,0,0,0.5,0.41,118,15.3
Nolan Foote,LW,55,14,18,32,15,48,2,7,1,0,2,3,2,0,0,3,0,1,0,0,0.58,0.87,92,15.2
Frederik Gauthier,F,51,8,24,32,17,15,2,2,2,3,1,3,0,0,1,0,0,0,0,0,0.63,0.29,60,13.3
Joe Gambardella,C,65,10,21,31,5,30,1,6,1,1,1,3,0,0,2,1,0,0,0,0,0.48,0.46,78,12.8
Nate Schnarr,C,43,13,13,26,12,26,2,4,0,0,3,0,2,0,0,1,0,0,0,0,0.6,0.6,70,18.6
Brian Flynn,C,61,13,13,26,-5,24,2,4,0,0,2,0,3,0,0,2,0,1,0,0,0.43,0.39,95,13.7
Aarne Talvitie,C,68,12,12,24,13,22,0,1,2,0,2,2,2,1,1,2,0,0,0,0,0.35,0.32,61,19.7
Graeme Clarke,RW,52,10,14,24,2,30,2,2,0,0,3,3,2,0,1,1,0,1,0,0,0.46,0.58,100,10
Tyler Wotherspoon,D,53,3,17,20,26,22,1,1,1,1,0,0,2,0,1,1,0,0,0,0,0.38,0.42,76,3.9
Michael Vukojevic,D,54,3,14,17,7,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.31,0.67,45,6.7
Kevin Bahl,D,54,3,13,16,15,52,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.3,0.96,39,7.7
Tyce Thompson,F,16,6,9,15,-1,16,3,1,0,0,1,2,1,0,0,1,0,0,0,0,0.94,1,30,20
Samuel Laberge,LW,53,5,8,13,4,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,1.09,45,11.1
Nikita Okhotiuk,D,63,3,9,12,10,68,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.19,1.08,55,5.5
Marian Studenic,RW,13,5,5,10,6,6,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0.77,0.46,30,16.7
Jeremy Groleau,D,50,2,7,9,-3,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.18,0.36,43,4.7
Jesper Boqvist,LW,7,2,6,8,6,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.14,0.29,10,20
Tyler Irvine,RW,20,2,3,5,-6,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.25,0.4,23,8.7
Patrick Grasso,F,9,1,3,4,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,14,7.1
Colton White,D,6,3,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,15,20
Brian Halonen,F,12,2,1,3,-4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.33,22,9.1
Luke Stevens,LW,8,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,5,0
Jarrod Gourley,D,4,1,0,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,14.3
Nick Rivera,C,9,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.78,5,0
Chris Lijdsman,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Garrett VanWyhe,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Harper,LW,2,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Joe Masonius,D,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,2,0
Tim Theocharidis,D,9,0,0,0,-3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,9,0
Patrick McGrath,RW,26,0,0,0,-4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,8,0
Alex Nylander,RW,67,22,20,42,-11,10,7,9,0,0,5,5,3,1,0,1,2,5,1,40,0.63,0.15,149,14.8
Valtteri Puustinen,RW,73,20,22,42,-15,14,7,10,0,0,3,7,0,2,1,0,0,5,0,0,0.58,0.19,183,10.9
Samuel Poulin,LW,72,16,21,37,-8,51,3,7,0,0,1,4,1,0,1,1,0,1,0,0,0.51,0.71,150,10.7
Juuso Riikola,D,53,1,34,35,-10,24,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0.66,0.45,97,1
Felix Robert,C,63,16,18,34,19,30,3,0,0,0,2,2,2,0,1,0,0,0,0,0,0.54,0.48,125,12.8
Michael Chaput,C,57,12,21,33,11,34,5,4,1,0,1,2,0,0,1,0,0,0,0,0,0.58,0.6,71,16.9
Pierre-Olivier Joseph,D,61,10,23,33,8,44,1,8,0,0,2,2,0,0,1,2,0,0,0,0,0.54,0.72,148,6.8
Drew O'Connor,LW,33,12,20,32,0,19,3,8,0,2,2,3,1,0,1,1,0,2,0,0,0.97,0.58,115,10.4
Jordy Bellerive,C,72,8,21,29,2,112,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0.4,1.56,118,6.8
Filip Hallander,LW,61,14,14,28,-1,22,2,3,1,0,3,2,2,1,1,0,0,0,0,0,0.46,0.36,143,9.8
Jonathan Gruden,LW,75,10,17,27,-3,78,0,0,1,1,1,1,4,0,1,4,0,0,0,0,0.36,1.04,79,12.7
Mitch Reinke,D,63,3,24,27,17,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.1,89,3.4
Radim Zohorna,C,39,12,9,21,-9,10,6,4,0,0,1,5,2,0,0,0,0,2,0,0,0.54,0.26,75,16
Kyle Olson,RW,71,12,9,21,4,68,0,0,0,0,3,1,1,0,1,1,0,0,0,0,0.3,0.96,97,12.4
Anthony Angello,RW,44,7,12,19,-4,27,2,2,1,0,2,1,0,0,1,0,1,2,0,50,0.43,0.61,71,9.9
Cam Lee,D,61,1,18,19,-5,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.31,1.16,111,0.9
Nathan Legare,RW,57,7,9,16,-8,30,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0.28,0.53,109,6.4
Taylor Fedun,D,44,5,11,16,12,18,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0.36,0.41,81,6.2
Matt Bartkowski,D,72,4,12,16,7,29,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.22,0.4,104,3.8
Kasper Bjorkqvist,RW,54,8,4,12,-3,28,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0.22,0.52,66,12.1
Jan Drozg,RW,23,4,6,10,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.35,24,16.7
Chris Bigras,D,28,3,7,10,-1,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0.36,0.43,25,12
Samuel Houde,C,19,1,5,6,4,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.32,0.32,13,7.7
Will Reilly,D,40,1,4,5,-8,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.13,0.6,48,2.1
Jamie Devane,LW,27,3,1,4,1,35,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.15,1.3,24,12.5
Patrick Watling,C,5,1,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0,4,25
Christopher Merisier-Ortiz ,D,8,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,10,10
Niclas Almari,D,13,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0.15,12,8.3
Justin Almeida,LW,7,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,7,14.3
Matt Alfaro,C,3,0,1,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,3,0
Matt Foley,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Laberge,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clayton Phillips,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Friedman,D,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Ty Glover,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Dylan MacPherson,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Josh Maniscalco,D,2,0,0,0,-4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
Adam Smith,D,2,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Corey Andonovski,RW,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3,0
Nick Hutchison,C,5,0,0,0,-6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5,0
Colin Swoyer,D,5,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3,0
